OTUID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131
367104	16	9	18	33	134	440	101	62	201	119	207	172	153	154	96	112	64	101	77	98	134	244	181	83	145	179	130	119	72	64	82	51	64	115	139	52	228	87	63	171	83	243	369	379	126	248	147	665	402	91	109	196	211	208	171	264	94	48	49	100	401	235	172	98	218	157	127	263	176	78	112	185	123	201	262	186	141	251	132	266	194	129	447	238	257	196	177	188	166	368	82	174	208	207	189	240	365	192	342	272	205	483	204	219	220	163	71	153	380	113	126	149	184	93	190	75	383	146	94	39	154	319	92	117	165	69	272	210	122	90	120
4479888	21	33	98	73	48	62	60	32	39	34	59	41	44	48	36	10	17	30	44	25	18	53	32	49	12	34	29	35	54	48	33	32	8	26	18	24	38	75	14	20	22	40	30	44	30	31	39	42	22	29	96	47	24	7	24	28	11	41	37	38	14	38	32	29	59	43	40	18	35	16	2	34	13	18	42	22	11	62	58	49	15	21	40	32	25	42	24	25	14	49	29	64	64	88	26	56	27	41	28	67	172	52	102	58	34	56	47	34	100	20	21	55	48	134	72	81	75	14	51	82	38	47	50	144	36	55	41	14	22	70	58
851668	12	32	54	54	55	142	15	18	58	37	37	50	31	59	11	24	45	10	35	15	53	50	39	9	25	44	49	32	12	13	18	10	105	22	32	14	59	23	19	29	22	39	97	97	33	43	49	249	89	39	26	51	59	114	37	65	26	17	14	31	102	77	35	36	66	39	32	71	135	75	154	55	61	134	73	50	77	72	72	99	134	40	98	52	51	42	52	34	56	72	12	39	52	70	58	30	68	38	77	63	37	85	47	33	49	35	9	40	55	43	29	35	47	30	25	17	68	94	38	15	63	62	22	14	33	27	51	33	32	9	45
368324	17	9	20	40	76	51	13	15	51	51	26	18	40	35	4	18	16	12	27	21	18	24	37	22	10	24	20	35	32	25	31	20	37	58	33	22	14	42	20	44	36	47	41	270	73	67	71	146	19	61	81	140	66	88	49	28	166	90	76	85	168	125	33	99	118	52	60	33	28	25	45	55	52	40	69	48	50	46	48	101	45	108	71	60	69	26	30	53	47	52	31	106	79	118	73	47	29	53	67	121	63	107	103	73	68	141	84	49	215	26	64	112	128	138	70	90	72	65	88	128	145	60	40	104	241	47	95	58	96	32	61
358016	3	1	237	331	273	413	318	597	542	494	493	338	416	300	194	405	428	581	360	317	383	352	312	249	311	208	193	280	197	319	309	434	375	410	715	250	478	456	386	415	442	750	215	138	414	416	431	341	345	462	335	207	406	182	571	361	587	438	509	519	182	415	444	286	475	304	327	335	166	199	267	383	578	319	160	205	155	233	70	349	841	78	325	255	255	231	207	179	224	278	314	238	265	128	322	302	384	425	352	305	129	185	137	151	215	198	234	151	158	277	285	227	327	227	237	223	124	411	300	248	183	204	327	126	215	285	268	159	336	288	178
364109	7	2	2	14	38	139	35	21	50	40	64	56	41	44	22	33	11	24	29	33	52	64	44	21	47	51	49	31	38	12	26	10	19	22	33	21	63	28	19	50	22	62	92	117	35	54	33	180	118	18	37	63	68	59	44	88	27	14	18	30	106	73	53	29	70	31	53	85	54	28	32	40	23	74	82	37	36	90	43	76	71	50	115	90	77	57	53	49	34	109	16	51	63	56	51	57	106	65	111	64	62	120	56	48	54	49	26	39	93	26	17	40	62	26	34	19	93	43	25	7	44	86	21	23	47	27	78	48	33	21	33
1105014	165	57	60	60	87	58	16	18	16	13	16	3	3	13	4	7	7	9	6	6	11	7	9	4	6	22	32	16	19	22	29	10	22	22	24	6	22	40	17	11	11	24	16	117	26	22	18	72	60	22	33	63	53	59	40	20	31	22	19	37	29	23	13	41	59	17	20	10	9	15	34	40	23	33	75	39	60	55	34	36	25	35	50	63	35	20	11	24	35	33	11	26	28	42	34	27	15	16	29	39	15	98	60	28	11	35	27	22	75	14	21	21	29	60	20	9	52	18	35	35	41	30	10	42	41	16	49	32	41	17	36
193041	122	49	184	686	732	811	391	1673	2612	1989	2331	1604	2057	1227	1532	1683	1961	1114	1663	1769	2279	1826	981	938	1837	680	1991	1915	2044	2068	881	1396	1835	1767	1508	797	898	387	371	1115	1187	500	669	605	641	511	467	928	729	1464	1075	447	852	1080	821	909	1109	837	811	842	1140	1818	649	1324	1896	1130	1234	1240	1006	2789	1514	995	1983	3058	1452	1077	1145	979	616	1583	1327	444	878	875	1031	1243	1345	1333	1851	908	1073	1483	1018	1071	1163	491	1009	837	1734	1622	487	766	874	831	1053	704	756	1690	732	1059	830	489	822	987	919	670	792	1136	1608	1079	1487	392	388	338	1679	1290	403	1242	1430	1455	1453
528634	17	35	32	15	75	44	28	54	32	43	36	36	41	34	17	6	7	18	38	33	10	21	7	11	35	29	37	19	22	30	26	32	11	19	38	30	34	37	10	12	18	57	17	6	45	10	20	17	34	38	31	27	30	19	49	17	56	45	34	65	6	26	42	18	10	13	34	29	20	11	33	45	27	29	62	28	40	25	44	27	31	9	39	41	30	52	30	31	17	36	52	42	53	33	24	28	23	23	38	55	19	53	48	20	12	26	69	37	33	34	23	15	36	41	64	52	30	7	54	6	50	18	24	58	31	26	27	23	28	65	28
271563	0	0	0	0	0	4	0	100	396	204	191	502	153	287	296	434	266	201	271	102	227	164	200	33	175	190	546	384	160	234	32	179	766	801	853	438	784	215	153	177	331	84	350	730	172	278	35	101	293	64	114	108	185	232	196	65	86	51	80	177	347	201	155	111	176	183	145	207	94	122	95	124	93	203	228	266	292	158	59	412	258	171	527	373	307	183	350	139	234	489	153	171	51	459	237	160	215	109	175	89	234	202	242	290	214	343	134	213	236	260	276	154	124	208	240	138	268	539	238	207	303	316	114	71	27	95	178	71	91	192	382
