parameter_type	source_taxon	target_taxon	value	significance	MCMC_std
growth_rate	NA	367104	0.0844267064586797	10000	NA
growth_rate	NA	4479888	0.166470116108722	10000	NA
growth_rate	NA	105725	0.242356026668927	10000	NA
growth_rate	NA	4444095	0.151399270987408	10000	NA
growth_rate	NA	1136492	0.132963001629314	10000	NA
growth_rate	NA	367517	0.200556433532222	10000	NA
growth_rate	NA	182497	0.230226439050809	10000	NA
growth_rate	NA	577562	0.222716642501802	10000	NA
growth_rate	NA	180045	0.152029324053988	10000	NA
growth_rate	NA	4348111	0.180911772227241	10000	NA
growth_rate	NA	3257594	0.105291839494878	10000	NA
growth_rate	NA	4257777	0.247128460686892	10000	NA
growth_rate	NA	340642	0.157633984150059	10000	NA
growth_rate	NA	271563	0.156190399268648	10000	NA
growth_rate	NA	368105	0.206671854788385	10000	NA
growth_rate	NA	536212	0.21557524264904	10000	NA
growth_rate	NA	581021	0.157801564507855	10000	NA
growth_rate	NA	938834	0.238019834612654	10000	NA
growth_rate	NA	1021808	0.22195517704406	10000	NA
growth_rate	NA	643390	0.219925196611419	10000	NA
growth_rate	NA	3700151	0.210647893106323	10000	NA
growth_rate	NA	1110862	0.112281218814975	10000	NA
interaction	367104	367104	0.000496773812199601	2.9131922518314	NA
interaction	367104	4479888	0.000136033171114483	0.797728806049745	NA
interaction	367104	105725	-0.0003969272417022	2.32766972950469	NA
interaction	367104	4444095	-0.000168955069101046	0.990790146593	NA
interaction	367104	1136492	0.000369325335635053	2.1658060061845	NA
interaction	367104	367517	-0.000507425907294371	2.97565850937919	NA
interaction	367104	182497	-0.000504243651540087	2.95699705304018	NA
interaction	367104	577562	-0.000351114666479	2.05901458726655	NA
interaction	367104	180045	3.54805160741092e-05	0.208065646738529	NA
interaction	367104	4348111	0	0	NA
interaction	367104	3257594	0.00054032219219898	3.16856964910658	NA
interaction	367104	4257777	-0.000516129389784753	3.02669766871544	NA
interaction	367104	340642	0.000244104314409835	1.43148205463702	NA
interaction	367104	271563	0.000362907983296311	2.12817322311223	NA
interaction	367104	368105	-0.000423062740166517	2.48093411211552	NA
interaction	367104	536212	0.000128202316025137	0.751806928101939	NA
interaction	367104	581021	0.000180650040842331	1.05937206501428	NA
interaction	367104	938834	-7.06525749725138e-05	0.414322431914276	NA
interaction	367104	1021808	-0.000490175633781165	2.87449906436309	NA
interaction	367104	643390	-0.000507332050563991	2.97510811261308	NA
interaction	367104	3700151	-0.000508482855499573	2.98185668900615	NA
interaction	367104	1110862	0.0006295209955102	3.69165129370517	NA
interaction	4479888	367104	0.000114113347281254	0.66918607818386	NA
interaction	4479888	4479888	-5.33724995299508e-05	0.312988221748402	NA
interaction	4479888	105725	2.49319073998052e-05	0.146206256603776	NA
interaction	4479888	4444095	-0.000274669204363279	1.61072137523686	NA
interaction	4479888	1136492	7.3834367949158e-06	0.0432981174422159	NA
interaction	4479888	367517	-2.22764565201357e-05	0.130634101353644	NA
interaction	4479888	182497	0	0	NA
interaction	4479888	577562	-5.68759617770534e-05	0.333533304484652	NA
interaction	4479888	180045	-0.000258325146064117	1.51487617802371	NA
interaction	4479888	4348111	1.05012250178007e-05	0.0615815218220551	NA
interaction	4479888	3257594	0.000199173315824649	1.16799667410569	NA
interaction	4479888	4257777	-9.45693915638826e-05	0.554575969986154	NA
interaction	4479888	340642	0.000241034142756148	1.41347788442178	NA
interaction	4479888	271563	0.000993742148107959	5.82752523400574	NA
interaction	4479888	368105	-4.8509895713188e-05	0.284472830206331	NA
interaction	4479888	536212	0.000752157349864486	4.41081818319131	NA
interaction	4479888	581021	2.19860200494703e-05	0.128930917217899	NA
interaction	4479888	938834	-0.000131807770397376	0.772950115370666	NA
interaction	4479888	1021808	-4.64612468514442e-05	0.272459097106493	NA
interaction	4479888	643390	-1.53881977573118e-05	0.0902398181533733	NA
