sampleID	isIncluded	subjectID	measurementID	
9	1	1	0.00	
10	1	1	0.08	
11	1	1	0.17	
12	1	1	0.25	
13	1	1	0.42	
14	1	1	0.80	
15	1	1	1.22	
16	1	1	1.80	
17	1	1	2.22	
18	1	1	2.80	
19	1	1	3.22	
20	1	1	3.80	
21	1	1	4.22	
22	1	1	4.80	
23	1	1	5.80	
24	1	1	7.80	
25	1	1	10.80	
26	1	1	12.80	
27	1	1	13.80	
28	1	1	15.22	
29	1	1	16.22	
30	1	1	16.80	
31	1	1	17.80	
32	1	1	18.80	
33	1	1	19.22	
34	1	1	20.21875	
35	1	1	20.9175	
43	1	2	0.00	
44	1	2	0.08	
45	1	2	0.17	
46	1	2	0.25	
47	1	2	0.33	
48	1	2	0.42	
49	1	2	0.50	
50	1	2	0.58	
51	1	2	1.00	
52	1	2	1.42	
53	1	2	2.42	
54	1	2	3.42	
55	1	2	4.00	
56	1	2	4.42	
57	1	2	5.00	
58	1	2	6.00	
59	1	2	7.00	
60	1	2	9.00	
61	1	2	11.42	
62	1	2	12.42	
63	1	2	14.42	
64	1	2	16.00	
65	1	2	16.42	
66	1	2	17.42	
67	1	2	19.00	
68	1	2	20.42	
69	1	2	22.00	
70	1	2	23.00	
71	1	2	24.42	
72	1	2	26.00	
