parameter_type	source_taxon	target_taxon	value	significance	MCMC_std
growth_rate	NA	552961	0.00933328577093602	10000	NA
growth_rate	NA	682726	0.0324144441919159	10000	NA
growth_rate	NA	191922	0.0123613918350857	10000	NA
growth_rate	NA	1111783	0.000422795679906923	10000	NA
growth_rate	NA	529021	0.0386883144134234	10000	NA
growth_rate	NA	188634	0.0532743211455741	10000	NA
growth_rate	NA	181765	0.0061356989071652	10000	NA
growth_rate	NA	593352	0.0354795614209482	10000	NA
growth_rate	NA	302439	0.0067028235305698	10000	NA
growth_rate	NA	574965	0.0398350394761808	10000	NA
growth_rate	NA	319438	0.0126783388422133	10000	NA
growth_rate	NA	1809696	0.021081219769064	10000	NA
growth_rate	NA	4385756	0.00433301836983094	10000	NA
growth_rate	NA	4310872	0.0320064250250392	10000	NA
growth_rate	NA	4407174	0.0306271364337122	10000	NA
growth_rate	NA	4459708	0.0332245334722685	10000	NA
growth_rate	NA	310391	0.0319608749395773	10000	NA
growth_rate	NA	177224	0.0209486965639864	10000	NA
growth_rate	NA	1073276	0.033182073834315	10000	NA
growth_rate	NA	586030	0.000253464608443612	10000	NA
growth_rate	NA	1106789	0.0514854112519738	10000	NA
growth_rate	NA	851715	0.0201396831284975	10000	NA
growth_rate	NA	328438	0.034743029186593	10000	NA
growth_rate	NA	316489	0.0371019811129491	10000	NA
growth_rate	NA	198583	0.0506193854036459	10000	NA
growth_rate	NA	3924208	0.036185777519978	10000	NA
growth_rate	NA	365868	0.032699434983843	10000	NA
interaction	552961	552961	-5.04108509813928e-06	0.293775916336836	NA
interaction	552961	682726	6.08256054392147e-06	0.354469278474268	NA
interaction	552961	191922	9.12808281016552e-07	0.0531951125551265	NA
interaction	552961	1111783	5.69495529861852e-06	0.331881069011613	NA
interaction	552961	529021	6.34877147783694e-06	0.369983073525807	NA
interaction	552961	188634	-2.21987300680496e-05	1.29366042038499	NA
interaction	552961	181765	5.97261428661607e-06	0.348062014589828	NA
interaction	552961	593352	-9.12808281016552e-07	0.0531951125551265	NA
interaction	552961	302439	-5.80083970336275e-06	0.338051623053837	NA
interaction	552961	574965	-1.83908476130899e-05	1.07175102275913	NA
interaction	552961	319438	1.01204552210411e-06	0.0589782943240672	NA
interaction	552961	1809696	-1.54497358878901e-05	0.900353838363554	NA
