parameter_type	source_taxon	target_taxon	value	significance	MCMC_std
growth_rate	NA	585220	0.132422316207126	10000	NA
growth_rate	NA	682726	0.130056887777987	10000	NA
growth_rate	NA	1106927	0.130370496277412	10000	NA
growth_rate	NA	1111783	0.122145147511088	10000	NA
growth_rate	NA	529021	0.122736466726036	10000	NA
growth_rate	NA	4361727	0.132026076614554	10000	NA
growth_rate	NA	147040	0.106977340349962	10000	NA
growth_rate	NA	4297420	0.0142107007617724	10000	NA
growth_rate	NA	194201	0.0884726048312605	10000	NA
growth_rate	NA	528935	0.128080422789186	10000	NA
growth_rate	NA	520734	0.145466397340935	10000	NA
growth_rate	NA	183809	0.12884767875818	10000	NA
growth_rate	NA	294363	0.00824393258024383	10000	NA
growth_rate	NA	191633	0.127685365306888	10000	NA
growth_rate	NA	4385756	0.0717967190974812	10000	NA
growth_rate	NA	152842	0.0834249870090384	10000	NA
growth_rate	NA	346253	0.0881658156152195	10000	NA
growth_rate	NA	4407703	0.13010897103482	10000	NA
growth_rate	NA	181707	0.107496392967656	10000	NA
growth_rate	NA	2079328	0.121778932050997	10000	NA
growth_rate	NA	1110862	0.00787203812206638	10000	NA
growth_rate	NA	4414388	0.0174401296187901	10000	NA
growth_rate	NA	328438	0.133184165012378	10000	NA
growth_rate	NA	316489	0.112780213580047	10000	NA
growth_rate	NA	198910	0.0210172774673461	10000	NA
growth_rate	NA	4371419	0.108932240599545	10000	NA
growth_rate	NA	192401	0.120416138139538	10000	NA
interaction	585220	585220	1.25181205052113e-05	1.16648434347969	NA
interaction	585220	682726	-1.67994701128449e-07	0.0156543618966047	NA
interaction	585220	1106927	-2.14259992693652e-07	0.0199655313117629	NA
interaction	585220	1111783	-2.5497724626888e-07	0.0237597142152765	NA
interaction	585220	529021	2.38070992115464e-05	2.21843274973872	NA
interaction	585220	4361727	3.07085670239412e-05	2.86153681211263	NA
interaction	585220	147040	2.42748492594573e-05	2.2620194133535	NA
interaction	585220	4297420	-4.36880069918057e-05	4.07100859370681	NA
interaction	585220	194201	3.43889391402576e-05	3.20448737326716	NA
interaction	585220	528935	-2.09476392184004e-07	0.0195197778859477	NA
interaction	585220	520734	-2.00831455040889e-07	0.0187142109620942	NA
interaction	585220	183809	-3.48478985142263e-08	0.00324725488966908	NA
interaction	585220	294363	-4.23129423461653e-05	3.9428750308653	NA
interaction	585220	191633	3.48478985142264e-08	0.00324725488966908	NA
interaction	585220	4385756	4.37104175480955e-05	4.07309689146922	NA
interaction	585220	152842	4.54751104824307e-05	4.23753744611113	NA
interaction	585220	346253	7.37203474350359e-05	6.86953213488025	NA
interaction	585220	4407703	-3.39198407090661e-07	0.0316077506235692	NA
interaction	585220	181707	-3.19791076357042e-07	0.0297993044243115	NA
interaction	585220	2079328	-1.8452752675498e-07	0.0171949511758659	NA
interaction	585220	1110862	-3.71251081507135e-05	3.45945362882305	NA
interaction	585220	4414388	-5.5461155516981e-05	5.16807371800887	NA
interaction	585220	328438	1.63887039720885e-05	1.52715949534166	NA
interaction	585220	316489	4.34702938310547e-05	4.05072128354072	NA
interaction	585220	198910	-6.05022520865699e-05	5.63782157032797	NA
interaction	585220	4371419	4.01030260824848e-06	0.373694693479758	NA
interaction	585220	192401	3.9307041804259e-05	3.66277420273131	NA
interaction	682726	585220	4.96471098967909e-07	0.0462629964055012	NA
interaction	682726	682726	-2.22466723875149e-08	0.00207302645982317	NA
interaction	682726	1106927	-7.13223965212912e-08	0.00664608228103425	NA
interaction	682726	1111783	-1.14517787499063e-07	0.0106711871092773	NA
interaction	682726	529021	1.54157389214207e-07	0.0143649504632279	NA
interaction	682726	4361727	2.25675868234421e-07	0.0210293044300897	NA
interaction	682726	147040	6.13706005430008e-07	0.0571873746171036	NA
interaction	682726	4297420	-9.0792012324302e-07	0.0846033243131218	NA
interaction	682726	194201	5.44972172925108e-07	0.0507825042173544	NA
interaction	682726	528935	-6.72507974434525e-08	0.00626667575788663	NA
interaction	682726	520734	-5.75420706805326e-08	0.00536198101881988	NA
interaction	682726	183809	-4.17817186286854e-09	0.000389337365810991	NA
interaction	682726	294363	-6.49407574822363e-07	0.0605141776876204	NA
interaction	682726	191633	4.17817186286854e-09	0.000389337365810991	NA
interaction	682726	4385756	9.96058709885505e-07	0.0928164008154678	NA
interaction	682726	152842	8.68456263195981e-07	0.0809259372118408	NA
interaction	682726	346253	1.54893025204777e-06	0.144334997206937	NA
interaction	682726	4407703	-3.31274709383706e-08	0.0030869391433483	NA
interaction	682726	181707	-9.42503066547488e-08	0.00878258897053717	NA
interaction	682726	2079328	-3.95760366225325e-08	0.00368784012567577	NA
interaction	682726	1110862	-5.18332680877335e-07	0.0483001387233458	NA
interaction	682726	4414388	-9.92290148431817e-07	0.0924652324486721	NA
interaction	682726	328438	2.71728214274519e-07	0.0253206308008433	NA
interaction	682726	316489	3.79404395118772e-07	0.0353542919297819	NA
interaction	682726	198910	-9.90299473060688e-07	0.0922797340224182	NA
interaction	682726	4371419	2.10037483485662e-07	0.0195720624296517	NA
interaction	682726	192401	3.66094085888466e-07	0.0341139885377861	NA
interaction	1106927	585220	2.0974999367728e-07	0.0195452730757508	NA
interaction	1106927	682726	4.31132876717168e-07	0.0401745414130319	NA
interaction	1106927	1106927	1.26652644995997e-07	0.0118019576011126	NA
interaction	1106927	1111783	-1.26652644995997e-07	0.0118019576011126	NA
interaction	1106927	529021	-5.61427803280719e-06	0.52315900158376	NA
interaction	1106927	4361727	-2.17028313311798e-06	0.202234935719484	NA
interaction	1106927	147040	2.00233690355606e-06	0.186585090581081	NA
interaction	1106927	4297420	-2.24881686169795e-06	0.209552996348912	NA
interaction	1106927	194201	-4.73964483017164e-06	0.441657474518483	NA
interaction	1106927	528935	2.0973016043742e-07	0.0195434249417783	NA
interaction	1106927	520734	2.10458779830929e-07	0.0196113203670166	NA
interaction	1106927	183809	5.80862495933156e-07	0.0541268960415015	NA
interaction	1106927	294363	-2.95799817522897e-06	0.275637110060544	NA
interaction	1106927	191633	5.58717844167832e-07	0.0520633762371263	NA
interaction	1106927	4385756	2.88609139319112e-06	0.268936572595496	NA
interaction	1106927	152842	1.17658276104561e-06	0.109638293463979	NA
interaction	1106927	346253	-1.67403198507109e-07	0.0155992435146852	NA
interaction	1106927	4407703	2.65525890275918e-07	0.0247426755211713	NA
interaction	1106927	181707	2.64767845100897e-07	0.024672038093776	NA
interaction	1106927	2079328	3.21464480324834e-07	0.0299552383385067	NA
