parameter_type	source_taxon	target_taxon	value	significance	MCMC_std
growth_rate	NA	367104	0.0602453445257151	10000	NA
growth_rate	NA	4479888	0.0580780383041993	10000	NA
growth_rate	NA	851668	0.0330130920756131	10000	NA
growth_rate	NA	368324	0.144996244636401	10000	NA
growth_rate	NA	358016	0.0381898491309561	10000	NA
growth_rate	NA	364109	0.0879360674240223	10000	NA
growth_rate	NA	1105014	0.13979337778227	10000	NA
growth_rate	NA	193041	0.0518692916717889	10000	NA
growth_rate	NA	528634	0.0153877859096796	10000	NA
growth_rate	NA	271563	0.122827854482841	10000	NA
growth_rate	NA	1976824	0.0792682221388218	10000	NA
growth_rate	NA	560336	0.0849950304294742	10000	NA
growth_rate	NA	531444	0.0498431965582751	10000	NA
growth_rate	NA	198162	0.0674784938529031	10000	NA
growth_rate	NA	181985	0.0606433219135579	10000	NA
growth_rate	NA	3718952	0.0883852524648214	10000	NA
growth_rate	NA	3335289	0.0586942762304651	10000	NA
growth_rate	NA	2430157	0.0511270696982036	10000	NA
growth_rate	NA	516298	0.133829979203791	10000	NA
growth_rate	NA	192708	0.136667012145976	10000	NA
growth_rate	NA	367394	0.0444979653911301	10000	NA
interaction	367104	367104	-5.91713680516865e-06	0.0372184558803053	NA
interaction	367104	4479888	2.34280202162233e-06	0.0147360922265436	NA
interaction	367104	851668	-7.27568165465923e-07	0.00457636261555666	NA
interaction	367104	368324	-2.06592548040164e-06	0.0129945544401074	NA
interaction	367104	358016	-7.60223159671276e-05	0.478176068241256	NA
interaction	367104	364109	-2.19535047478418e-05	0.138086303355688	NA
interaction	367104	1105014	4.58550287782918e-06	0.028842553783516	NA
interaction	367104	193041	-2.06592548040164e-06	0.0129945544401074	NA
interaction	367104	528634	-6.66432057618105e-07	0.00419181995454533	NA
interaction	367104	271563	1.36646765109864e-05	0.0859500424932793	NA
interaction	367104	1976824	-1.01632380197948e-06	0.00639261923960187	NA
interaction	367104	560336	5.71201736137111e-05	0.359282661786742	NA
