parameter_type	source_taxon	target_taxon	value	significance	MCMC_std
growth_rate	NA	367104	0.10414257155751	10000	NA
growth_rate	NA	4479888	0.166643187099483	10000	NA
growth_rate	NA	105725	0.0178250342810909	10000	NA
growth_rate	NA	4444095	0.200218185610762	10000	NA
growth_rate	NA	1136492	0.131179769328732	10000	NA
growth_rate	NA	367517	0.0757006775169968	10000	NA
growth_rate	NA	182497	0.0779858368622372	10000	NA
growth_rate	NA	577562	0.0579025841211113	10000	NA
growth_rate	NA	180045	0.204689110924289	10000	NA
growth_rate	NA	4348111	0.17292674760212	10000	NA
growth_rate	NA	3257594	0.0947942951470102	10000	NA
growth_rate	NA	4257777	0.052995253636275	10000	NA
growth_rate	NA	340642	0.176008686613908	10000	NA
growth_rate	NA	271563	0.183136747913942	10000	NA
growth_rate	NA	368105	0.00452131295509928	10000	NA
growth_rate	NA	536212	0.211449389628367	10000	NA
growth_rate	NA	581021	0.201755110303396	10000	NA
growth_rate	NA	938834	0.00689205269152296	10000	NA
growth_rate	NA	1021808	0.0695720008333895	10000	NA
growth_rate	NA	643390	0.0782467201078796	10000	NA
growth_rate	NA	3700151	0.0785287502981084	10000	NA
growth_rate	NA	1110862	0.138536164649381	10000	NA
interaction	367104	367104	0.000458505134684956	2.34766225771632	NA
interaction	367104	4479888	0.000231460915571633	1.18513843034137	NA
interaction	367104	105725	-0.000240134419800397	1.22954896575228	NA
interaction	367104	4444095	-6.94879032569322e-05	0.355795640012263	NA
interaction	367104	1136492	0.000367576410825618	1.88208419326661	NA
interaction	367104	367517	-0.000369362047565583	1.8912271050102	NA
interaction	367104	182497	-0.00036687535727857	1.87849462179066	NA
interaction	367104	577562	-0.00023984137594397	1.2280485070888	NA
interaction	367104	180045	8.9625579301719e-05	0.458905634714827	NA
interaction	367104	4348111	0.000130602901856687	0.668719890449752	NA
interaction	367104	3257594	0.000493745392467769	2.52810129076172	NA
interaction	367104	4257777	-0.000379608334692377	1.9436906866576	NA
interaction	367104	340642	0.000339750127035194	1.73960658225323	NA
interaction	367104	271563	0.00035503360742732	1.81786186745913	NA
interaction	367104	368105	-0.000294547521702654	1.50815781001086	NA
interaction	367104	536212	0.000199579495691185	1.02189749689542	NA
