parameter_type	source_taxon	target_taxon	value	significance	MCMC_std
growth_rate	NA	552961	0.0288495877313414	10000	NA
growth_rate	NA	682726	0.020155225022611	10000	NA
growth_rate	NA	191922	0.0210743797861012	10000	NA
growth_rate	NA	1111783	0.0274034904960868	10000	NA
growth_rate	NA	529021	0.020846851498697	10000	NA
growth_rate	NA	188634	0.0477832552978019	10000	NA
growth_rate	NA	181765	0.0191041955051089	10000	NA
growth_rate	NA	593352	0.0347387792159845	10000	NA
growth_rate	NA	302439	0.0307875525900577	10000	NA
growth_rate	NA	574965	0.0232054787222758	10000	NA
growth_rate	NA	319438	0.0253299722272456	10000	NA
growth_rate	NA	1809696	0.0329248084277262	10000	NA
growth_rate	NA	4385756	0.0277135341258709	10000	NA
growth_rate	NA	4310872	0.0206240001360926	10000	NA
growth_rate	NA	4407174	0.0295094397352863	10000	NA
growth_rate	NA	4459708	0.0193912140388422	10000	NA
growth_rate	NA	310391	0.0207240455858001	10000	NA
growth_rate	NA	177224	0.0303256127302914	10000	NA
growth_rate	NA	1073276	0.0310708731801423	10000	NA
growth_rate	NA	586030	0.0229743467549853	10000	NA
growth_rate	NA	1106789	0.0291916653465927	10000	NA
growth_rate	NA	851715	0.0823949599128272	10000	NA
growth_rate	NA	328438	0.0217364422285479	10000	NA
growth_rate	NA	316489	0.0208081257965372	10000	NA
growth_rate	NA	198583	0.0293513764581574	10000	NA
growth_rate	NA	3924208	0.0253432201397569	10000	NA
growth_rate	NA	365868	0.0199596849550264	10000	NA
interaction	552961	552961	2.4007455342317e-07	0.0206805955127595	NA
interaction	552961	682726	3.75871710172033e-07	0.0323784869821475	NA
interaction	552961	191922	-7.18678746060902e-08	0.00619087039379172	NA
interaction	552961	1111783	3.64519494906189e-07	0.0314005800414112	NA
interaction	552961	529021	1.56319729530468e-07	0.0134657549123304	NA
interaction	552961	188634	-6.95281795641238e-07	0.0598932347390293	NA
interaction	552961	181765	3.32919535076434e-07	0.0286784840169037	NA
interaction	552961	593352	-3.13737571198076e-09	0.000270261038272822	NA
interaction	552961	302439	-3.9117443114108e-07	0.0336966999209742	NA
interaction	552961	574965	5.26560791807739e-08	0.00453592044345473	NA
interaction	552961	319438	1.50674694920487e-07	0.0129794781463844	NA
