parameter_type	source_taxon	target_taxon	value	significance	MCMC_std
growth_rate	NA	585220	0.0485995551793636	10000	NA
growth_rate	NA	682726	0.0536724868141399	10000	NA
growth_rate	NA	1106927	0.0535844556793307	10000	NA
growth_rate	NA	1111783	0.0484664087876603	10000	NA
growth_rate	NA	529021	0.0285961298804411	10000	NA
growth_rate	NA	4361727	0.0431179094945073	10000	NA
growth_rate	NA	147040	0.0258697860607383	10000	NA
growth_rate	NA	4297420	0.26942776691406	10000	NA
growth_rate	NA	194201	0.037484068596511	10000	NA
growth_rate	NA	528935	0.0536491009590025	10000	NA
growth_rate	NA	520734	0.113086722967208	10000	NA
growth_rate	NA	183809	0.0529291189278662	10000	NA
growth_rate	NA	294363	0.199019309108628	10000	NA
growth_rate	NA	191633	0.0532675587588799	10000	NA
growth_rate	NA	4385756	0.040768024138399	10000	NA
growth_rate	NA	152842	0.0259031528651207	10000	NA
growth_rate	NA	346253	0.110009466632135	10000	NA
growth_rate	NA	4407703	0.0529555123541533	10000	NA
growth_rate	NA	181707	0.0552080233385471	10000	NA
growth_rate	NA	2079328	0.0608888418831486	10000	NA
growth_rate	NA	1110862	0.179108228917478	10000	NA
growth_rate	NA	4414388	0.282034998061779	10000	NA
growth_rate	NA	328438	0.0326853128342779	10000	NA
growth_rate	NA	316489	0.0478679536669876	10000	NA
growth_rate	NA	198910	0.262996941950856	10000	NA
growth_rate	NA	4371419	0.0229684865857575	10000	NA
growth_rate	NA	192401	0.0556601544125234	10000	NA
interaction	585220	585220	7.72106103365685e-06	0.138067467246869	NA
interaction	585220	682726	-3.37410205404138e-07	0.00603354542598809	NA
interaction	585220	1106927	-1.93822957289936e-07	0.00346592841199769	NA
interaction	585220	1111783	-6.7440079691613e-08	0.00120595873460386	NA
interaction	585220	529021	6.17963033440018e-06	0.110503712517405	NA
interaction	585220	4361727	4.67404102740028e-05	0.835808710290001	NA
interaction	585220	147040	6.00289900418283e-06	0.107343415371726	NA
interaction	585220	4297420	-5.59603127091652e-05	1.00067835345654	NA
interaction	585220	194201	1.89319536526294e-05	0.338539856045622	NA
interaction	585220	528935	-1.72069742041478e-07	0.00307693895566023	NA
interaction	585220	520734	-2.35498796763663e-07	0.00421117282548465	NA
interaction	585220	183809	-4.27875538046061e-07	0.00765124010513507	NA
interaction	585220	294363	-6.35034805381286e-05	1.13556474700054	NA
interaction	585220	191633	-4.30792956351253e-07	0.00770340917290201	NA
interaction	585220	4385756	0.000116807857626417	2.08874984755483	NA
interaction	585220	152842	2.88715814647394e-05	0.516279577492248	NA
interaction	585220	346253	5.05540892423128e-05	0.90400464783692	NA
interaction	585220	4407703	-1.52758609208903e-07	0.00273161864434043	NA
interaction	585220	181707	6.7440079691613e-08	0.00120595873460386	NA
interaction	585220	2079328	-2.87842924212537e-07	0.00514718680991115	NA
interaction	585220	1110862	-7.19769677174535e-05	1.28708704536063	NA
interaction	585220	4414388	-8.8566009326759e-05	1.58373111397576	NA
interaction	585220	328438	1.25181121126813e-05	0.223847995317774	NA
interaction	585220	316489	1.42484157526397e-05	0.254789162612749	NA
interaction	585220	198910	-7.11052040291577e-05	1.2714982287516	NA
interaction	585220	4371419	7.41461782030077e-06	0.132587671382203	NA
interaction	585220	192401	1.33197693787188e-05	0.238183173843027	NA
interaction	682726	585220	2.38168675052113e-06	0.0425891540018219	NA
interaction	682726	682726	-4.58631468796696e-09	8.20121548326638e-05	NA
interaction	682726	1106927	-2.05231269789527e-09	3.66993104913698e-05	NA
interaction	682726	1111783	1.78049008202058e-10	3.18385977019434e-06	NA
interaction	682726	529021	2.11703141017035e-06	0.0378566059263298	NA
