parameter_type	source_taxon	target_taxon	value	significance	MCMC_std
growth_rate	NA	367104	0.0747474593659094	10000	NA
growth_rate	NA	4479888	0.0661728884454231	10000	NA
growth_rate	NA	851668	0.0659206378119212	10000	NA
growth_rate	NA	368324	0.142647965487399	10000	NA
growth_rate	NA	358016	0.0681231671960756	10000	NA
growth_rate	NA	364109	0.0993167423959079	10000	NA
growth_rate	NA	1105014	0.143549584573413	10000	NA
growth_rate	NA	193041	0.0633622218249174	10000	NA
growth_rate	NA	528634	0.0479464488359037	10000	NA
growth_rate	NA	271563	0.0864327400187228	10000	NA
growth_rate	NA	1976824	0.0889559075655151	10000	NA
growth_rate	NA	560336	0.120551380059898	10000	NA
growth_rate	NA	531444	0.0674420970934855	10000	NA
growth_rate	NA	198162	0.0792340818782919	10000	NA
growth_rate	NA	181985	0.0659730215159943	10000	NA
growth_rate	NA	4435546	0.181293712091132	10000	NA
growth_rate	NA	3718952	0.102832399355162	10000	NA
growth_rate	NA	3335289	0.213358592866368	10000	NA
growth_rate	NA	2430157	0.0570148849417539	10000	NA
growth_rate	NA	516298	0.12628246380019	10000	NA
growth_rate	NA	192708	0.057160412521354	10000	NA
growth_rate	NA	367394	0.0553950699555835	10000	NA
interaction	367104	367104	-8.54978157658322e-06	0.0480261939288475	NA
interaction	367104	4479888	3.09589394251642e-06	0.0173903861209349	NA
interaction	367104	851668	0	0	NA
interaction	367104	368324	-5.64521842342304e-06	0.0317105591932988	NA
interaction	367104	358016	-8.38549987750197e-05	0.47103383835003	NA
interaction	367104	364109	-1.49544293122952e-05	0.0840026515080343	NA
interaction	367104	1105014	9.87814502720749e-06	0.0554879331693451	NA
interaction	367104	193041	-5.15649263945858e-06	0.0289652680921798	NA
interaction	367104	528634	-2.98793112912166e-06	0.016783932848795	NA
interaction	367104	271563	9.53838553343702e-06	0.0535794218008583	NA
interaction	367104	1976824	-4.98156852343014e-07	0.00279826769646797	NA
interaction	367104	560336	5.55687947033887e-05	0.312143378975511	NA
interaction	367104	531444	-5.50923927515826e-06	0.0309467313824539	NA
interaction	367104	198162	2.2582924285788e-05	0.126853755445664	NA
interaction	367104	181985	1.00629999926085e-05	0.056526308283088	NA
interaction	367104	4435546	-1.07906222875086e-05	0.0606135389484341	NA
interaction	367104	3718952	3.87127618942672e-07	0.00217458960044963	NA
interaction	367104	3335289	8.44690892118009e-07	0.00474483333070162	NA
interaction	367104	2430157	1.30606872697406e-05	0.0733650437782602	NA
interaction	367104	516298	-2.24831852973473e-05	0.126293497390155	NA
interaction	367104	192708	-1.11585210255246e-05	0.0626801152673575	NA
interaction	367104	367394	2.12039569930979e-06	0.0119107762167701	NA
interaction	4479888	367104	-5.2035433302695e-05	0.292295632184506	NA
interaction	4479888	4479888	0	0	NA
interaction	4479888	851668	9.29507662728339e-06	0.0522126967439804	NA
interaction	4479888	368324	-2.0377296687129e-05	0.114464211006525	NA
interaction	4479888	358016	2.1782339275941e-05	0.122356675538413	NA
interaction	4479888	364109	-5.63486585060964e-05	0.316524062843449	NA
interaction	4479888	1105014	1.56394048641022e-05	0.0878503250881055	NA
interaction	4479888	193041	2.24258247767195e-05	0.125971289452695	NA
interaction	4479888	528634	1.7150413770137e-05	0.0963380280895714	NA
interaction	4479888	271563	0.000223542202497388	1.25569069481558	NA
interaction	4479888	1976824	-2.33891622722921e-05	0.131382589491987	NA
interaction	4479888	560336	1.14903792259297e-06	0.00645442431572657	NA
interaction	4479888	531444	2.30121507201815e-05	0.129264824289111	NA
interaction	4479888	198162	-8.0588662153171e-05	0.452686034416951	NA
interaction	4479888	181985	-1.38136448363738e-05	0.0775945888013006	NA
interaction	4479888	4435546	1.96245491045258e-05	0.110235845514641	NA
interaction	4479888	3718952	3.51442110127389e-05	0.197413545416988	NA
interaction	4479888	3335289	-1.17554207244542e-05	0.0660330454492678	NA
interaction	4479888	2430157	-1.29781899211706e-05	0.0729016361899435	NA
interaction	4479888	516298	-2.70673528636595e-05	0.152043876925586	NA
interaction	4479888	192708	2.19887804702796e-05	0.123516305728424	NA
interaction	4479888	367394	-2.34667853036407e-05	0.131818616859879	NA
interaction	851668	367104	2.27207420835758e-05	0.127627911396213	NA
interaction	851668	4479888	-7.19099520131276e-06	0.0403935617519804	NA
interaction	851668	851668	1.50179260708805e-05	0.0843593281803391	NA
interaction	851668	368324	0	0	NA
interaction	851668	358016	0.000404382027202456	2.2715117907757	NA
interaction	851668	364109	4.36338731619563e-05	0.245102033961002	NA
interaction	851668	1105014	-3.64231239675179e-06	0.0204597509245088	NA
interaction	851668	193041	1.26961433349499e-05	0.0713173122016088	NA
interaction	851668	528634	1.46257676271835e-05	0.0821564792187456	NA
interaction	851668	271563	3.79943058197827e-05	0.21342321825981	NA
interaction	851668	1976824	7.78363746674217e-06	0.0437225768987415	NA
interaction	851668	560336	-3.26621519701634e-05	0.18347121860386	NA
interaction	851668	531444	9.50614637538793e-06	0.053398326641561	NA
interaction	851668	198162	-0.000137729073092449	0.773657562445213	NA
interaction	851668	181985	-5.30982603597838e-05	0.298265789187859	NA
interaction	851668	4435546	-2.65475757633296e-05	0.14912416305961	NA
interaction	851668	3718952	1.66644767479844e-05	0.0936084021390064	NA
interaction	851668	3335289	-0.000124492393171684	0.699303925319574	NA
interaction	851668	2430157	-9.45320256865382e-05	0.531009284557983	NA
interaction	851668	516298	3.58246205095204e-05	0.201235570360053	NA
interaction	851668	192708	-2.44828241375388e-05	0.137525953081155	NA
interaction	851668	367394	-0.000110324120612257	0.619717306704722	NA
interaction	368324	367104	-1.0763186049006e-05	0.0604594229515281	NA
interaction	368324	4479888	-4.28142690297529e-05	0.240498119036919	NA
interaction	368324	851668	1.45199294237872e-05	0.0815619603955617	NA
interaction	368324	368324	-4.94337642075828e-06	0.0277681426735941	NA
interaction	368324	358016	4.19889279129464e-06	0.0235861978080784	NA
interaction	368324	364109	-1.80676582673366e-07	0.00101490412592976	NA
interaction	368324	1105014	2.08274298600638e-05	0.116992718064107	NA
interaction	368324	193041	5.80432084317515e-07	0.00326042760206961	NA
interaction	368324	528634	-4.12761245756907e-07	0.00231857989089775	NA
interaction	368324	271563	3.96553504217843e-06	0.0222753708105151	NA
interaction	368324	1976824	-7.7947020934429e-05	0.437847295868446	NA
interaction	368324	560336	3.3007179588526e-05	0.185409322304155	NA
interaction	368324	531444	-1.62791248891824e-06	0.00914437874133677	NA
interaction	368324	198162	0	0	NA
interaction	368324	181985	6.07008958383614e-06	0.0340971634079212	NA
interaction	368324	4435546	-1.89710870133229e-05	0.106565190675549	NA
interaction	368324	3718952	1.67304742490068e-05	0.0939791260872766	NA
interaction	368324	3335289	9.21615627570337e-06	0.0517693820141285	NA
interaction	368324	2430157	9.32276669133764e-06	0.0523682385404882	NA
interaction	368324	516298	-1.6487543167517e-05	0.092614523363047	NA
interaction	368324	192708	-1.71088322615428e-05	0.0961044546844837	NA
interaction	368324	367394	8.23663653634861e-06	0.0462671823920669	NA
interaction	358016	367104	2.22811532886033e-05	0.125158634663563	NA
interaction	358016	4479888	-3.06773298054929e-05	0.172321991767958	NA
interaction	358016	851668	1.80943540914941e-05	0.101640369503172	NA
interaction	358016	368324	-2.23390290446936e-05	0.12548373680341	NA
interaction	358016	358016	4.50722008667802e-07	0.00253181469051403	NA
interaction	358016	364109	2.23059731832182e-05	0.125298054023156	NA
interaction	358016	1105014	-0.000104408161195601	0.586485929777193	NA
interaction	358016	193041	1.90239721448527e-05	0.106862259268477	NA
interaction	358016	528634	-4.41611147346616e-05	0.248063677576255	NA
interaction	358016	271563	7.03946510447082e-05	0.395423804964358	NA
interaction	358016	1976824	-4.93609078734468e-05	0.277272175060817	NA
interaction	358016	560336	0.00017869218276099	1.00375727098727	NA
interaction	358016	531444	1.89333550211995e-05	0.106353240936856	NA
interaction	358016	198162	1.18051952204293e-06	0.00663126408488694	NA
interaction	358016	181985	1.24812798060338e-05	0.070110371718331	NA
interaction	358016	4435546	-1.31591603291715e-05	0.0739181908039045	NA
interaction	358016	3718952	-3.43006522944108e-05	0.192675071780684	NA
interaction	358016	3335289	1.3462772889273e-05	0.0756236560909486	NA
interaction	358016	2430157	-9.50633378906954e-06	0.0533993793896034	NA
interaction	358016	516298	0	0	NA
