parameter_type	source_taxon	target_taxon	value	significance	MCMC_std
growth_rate	NA	367104	0.0998488727111759	10000	NA
growth_rate	NA	4479888	0.16053983145171	10000	NA
growth_rate	NA	105725	0.233391067048266	10000	NA
growth_rate	NA	4444095	0.151188109336763	10000	NA
growth_rate	NA	1136492	0.146936949672269	10000	NA
growth_rate	NA	367517	0.20904467496064	10000	NA
growth_rate	NA	182497	0.225850683075526	10000	NA
growth_rate	NA	577562	0.219174153560426	10000	NA
growth_rate	NA	180045	0.153722742576325	10000	NA
growth_rate	NA	4348111	0.182800162715542	10000	NA
growth_rate	NA	3257594	0.107801704632377	10000	NA
growth_rate	NA	4257777	0.253964627228399	10000	NA
growth_rate	NA	340642	0.160371237913893	10000	NA
growth_rate	NA	271563	0.169595467506867	10000	NA
growth_rate	NA	368105	0.210619578010286	10000	NA
growth_rate	NA	536212	0.199138980558417	10000	NA
growth_rate	NA	581021	0.169956948225679	10000	NA
growth_rate	NA	938834	0.248633432198946	10000	NA
growth_rate	NA	1021808	0.228056305741623	10000	NA
growth_rate	NA	643390	0.218426294308742	10000	NA
growth_rate	NA	3700151	0.215589009796576	10000	NA
growth_rate	NA	1110862	0.089964921777278	10000	NA
interaction	367104	367104	0.000468424195016241	2.69231096840666	NA
interaction	367104	4479888	0.000129469671667633	0.744138797302501	NA
interaction	367104	105725	-0.000394636767804764	2.26821097159697	NA
interaction	367104	4444095	-0.000174285330907517	1.00172090388803	NA
interaction	367104	1136492	0.000350633401722614	2.01529759434139	NA
interaction	367104	367517	-0.00049529470855575	2.84675170630798	NA
interaction	367104	182497	-0.00049209321162934	2.82835080946704	NA
interaction	367104	577562	-0.000341968221004011	1.96549367443261	NA
interaction	367104	180045	2.60796506769976e-05	0.149895181156174	NA
interaction	367104	4348111	0	0	NA
interaction	367104	3257594	0.00051276168337048	2.9471447440266	NA
interaction	367104	4257777	-0.000503489677476719	2.89385304083855	NA
interaction	367104	340642	0.000225400722497577	1.29551129921026	NA
interaction	367104	271563	0.000349144092932271	2.00673765564854	NA
